icao,lat,lon,airport_name,country
ESSA,59.64849,17.928829,Stockholm-Arlanda Airport,SE
ESSB,59.354401,17.9417,Stockholm-Bromma Airport,SE
ETHN,49.39162,9.956747,Niederstetten Army Air Base,DE
EYVP,54.479745,24.9898,Paluknys Airfield,LT
KJFK,40.639447,-73.779317,John F. Kennedy International Airport,US
KLAX,33.942501,-118.407997,Los Angeles International Airport,US
KORD,41.9786,-87.9048,Chicago O'Hare International Airport,US
LCEN,35.153064,33.507352,Ercan International Airport,CY
LCLK,34.875099,33.624901,Larnaca International Airport,CY
LEAL,38.2822,-0.558156,Alicante-Elche Miguel Hernández Airport,ES
LEBG,42.357601,-3.62076,Burgos Airport,ES
LEBL,41.2971,2.07846,Josep Tarradellas Barcelona-El Prat Airport,ES
LECU,40.370701,-3.78514,Madrid-Cuatro Vientos Airport,ES
LEIB,38.872898,1.37312,Ibiza Airport,ES
LELL,41.520901,2.10508,Sabadell Airfield,ES
LEMD,40.493407,-3.572249,Adolfo Suárez Madrid–Barajas Airport,ES
LEMG,36.6749,-4.49911,Málaga-Costa del Sol Airport,ES
LEMH,39.862598,4.21865,Menorca Airport,ES
LEMS,41.765301,1.86167,Manresa Airfield,ES
LEPA,39.551701,2.73881,Palma de Mallorca Airport,ES
LFBD,44.82865,-0.715356,Bordeaux–Mérignac Airport,FR
LFBO,43.629101,1.36382,Toulouse-Blagnac Airport,FR
LFCL,43.58677,1.49924,Toulouse-Lasbordes Airfield,FR
LFLU,44.9216,4.9699,Valence-Chabeuil Airport,FR
LFMA,43.506294,5.366426,Aix Les Milles airport,FR
LFML,43.438088,5.2125,Marseille Provence Airport,FR
LFMN,43.658401,7.21587,Nice-Côte d'Azur Airport,FR
LFPG,49.00896,2.554117,Charles de Gaulle International Airport,FR
LFPL,48.821028,2.625967,Lognes Emerainville Airfield,FR
LFPN,48.7519,2.10619,Toussus-le-Noble Airport,FR
LFPO,48.729499,2.358963,Paris-Orly Airport,FR
LFPZ,48.812459,2.067533,Saint-Cyr-l'École Airport,FR
LFQO,50.687199,3.07556,Marcq-en-Baroeul Airfield,FR
LFRE,47.289398,-2.34639,La Baule-Escoublac Airport,FR
LFRV,47.723301,-2.71856,Vannes-Meucon Airport,FR
LGAV,37.936401,23.9445,Athens Eleftherios Venizelos International Airport,GR
LGTS,40.51928,22.970009,Thessaloniki Macedonia International Airport,GR
LGTT,38.108898,23.7838,Tatoi Airport,GR
LICJ,38.175999,13.091,Falcone–Borsellino Airport,IT
LICZ,37.401699,14.9224,Sigonella Navy Air Base,IT
LIMC,45.6306,8.72811,Milan Malpensa International Airport,IT
LIML,45.445099,9.27674,Milano Linate Airport,IT
LIPN,45.472,10.9279,Verona-Boscomantico Airfield,IT
