route,avg_duration_sec,median_duration_sec,min_duration_sec,max_duration_sec,samples,avg_duration_min
EHAM_LEMD,8124.72,7336.0,6657,58172,20752,135.41
EDDF_EDDH,2608.77,2593.0,2261,3134,20748,43.48
EGKK_LPFR,8553.91,8516.0,7859,9618,20684,142.57
LEPA_EDDK,7254.62,7161.0,6242,8087,20672,120.91
LFPG_EDDF,8740.01,3011.0,2427,77539,20573,145.67
LFPG_LFMN,6040.01,4237.0,3711,44744,20302,100.67
LFPO_LEMD,5543.87,5480.0,4773,6460,20290,92.4
LPPT_EHAM,8746.98,8753.0,7756,10035,20112,145.78
LIML_LIRF,2912.98,2896.0,2567,3488,19859,48.55
LEMD_EHAM,7098.59,7093.0,6436,7789,19823,118.31
LEPA_EDDM,6471.21,6439.0,5870,7134,19681,107.85
ESSA_ENGM,2613.04,2608.0,2262,3179,19645,43.55
EHAM_EDDF,2484.28,2429.0,2113,3544,19539,41.4
EIDW_EGCC,2377.07,2209.0,1978,3359,19279,39.62
LPPT_LEBL,5167.21,5190.0,4575,5835,19094,86.12
LOWW_EDDF,3600.93,3613.0,3227,4013,19079,60.02
ENZV_ENGM,2350.33,2303.0,1903,3391,19052,39.17
LEBL_LIMC,4316.91,4318.0,3717,4932,18829,71.95
LEMD_LPPR,2992.4,2954.0,2542,3851,18681,49.87
LTFM_LTFE,3237.31,3248.0,2622,4419,18525,53.96
EDDF_LOWW,3481.5,3509.0,2997,3875,18431,58.02
LFMN_LFPG,4099.95,4039.0,3643,7781,18335,68.33
SKBO_LEMD,33117.94,32758.0,31790,44307,18330,551.97
EDDF_EHAM,2996.48,2839.0,2323,5967,18323,49.94
EGCC_EHAM,2942.03,2901.0,2547,3800,18249,49.03
ESSA_EKCH,3286.8,3241.0,2837,4955,18197,54.78
LGAV_LFPG,10172.84,10145.0,9456,10988,18073,169.55
LIRF_LFPG,5728.0,5652.0,5366,6438,17836,95.47
LEBL_LEPA,1527.35,1518.0,1161,2051,17825,25.46
LFMN_LFPO,4052.75,4004.0,3616,5036,17780,67.55
EKCH_EHAM,4006.88,3876.0,3192,6447,17644,66.78
EHAM_EDDM,3665.83,3682.0,3193,4456,17337,61.1
LEBL_LEIB,2069.78,2074.0,1570,2591,17136,34.5
EDDL_EDDM,2989.09,2982.0,2576,3543,17085,49.82
EHAM_LSZH,3856.39,3766.0,3327,5719,16827,64.27
LFPO_LEBL,4471.65,4432.0,4008,5066,16750,74.53
EGLL_EKCH,4757.1,4720.0,4242,5723,16649,79.29
EKYT_EKCH,1867.32,1775.0,1471,3108,16648,31.12
EHAM_EGCC,3308.89,3283.0,2834,3969,16591,55.15
LFPG_EHAM,2714.59,2684.0,2425,3300,16518,45.24
LPPR_LEMD,2890.87,2845.0,2464,4192,16440,48.18
EDDH_EDDF,2859.21,2804.0,2381,3309,16380,47.65
LEIB_LEMD,3004.31,2932.0,2471,4037,16344,50.07
EDDF_EDDB,2742.76,2760.0,2334,3083,16315,45.71
EDDH_LEPA,10275.61,8241.0,7278,45217,16281,171.26
EGKK_LEPA,6549.63,6482.0,5833,7501,16167,109.16
EGPF_EGLL,4136.57,4187.0,3228,4711,16065,68.94
EGLC_EHAM,2450.16,2442.0,2167,2865,15962,40.84
LFPO_LFMN,4015.88,3987.0,3674,4524,15663,66.93
EDDM_EHAM,4018.42,3978.0,3444,4665,15206,66.97
EDDL_LTAI,11806.23,11777.0,10943,12862,15053,196.77
LTAI_EDDL,11945.96,11854.0,11446,12978,15003,199.1
EGCC_EIDW,2394.78,2294.0,1869,3430,14814,39.91
EGLL_LTFM,12167.95,11703.0,10946,16844,14746,202.8
EIDW_EGPH,2865.16,2991.0,2162,3452,14565,47.75
LEMD_LEIB,2929.63,2694.0,2287,22045,14508,48.83
LPPR_LPPT,2827.45,2504.0,2016,18294,14396,47.12
LICJ_LIRF,2666.56,2644.0,2282,3057,14384,44.44
EDDK_LEPA,6572.12,6539.0,5997,7399,14382,109.54
LTFJ_LTFE,3086.23,3075.0,2560,5251,14266,51.44
LEPA_EDDH,8375.17,8386.0,7611,9016,14150,139.59
EGCC_LEPA,7846.63,7732.0,7110,8444,14137,130.78
LTAI_EDDK,12082.28,11989.0,11269,13400,13785,201.37
EGLL_LEBL,5739.34,5669.0,5203,6374,13500,95.66
EDDM_EDDF,4095.87,2137.0,1855,52185,13497,68.26
LEMG_EHAM,9193.97,9181.0,8457,9988,13343,153.23
LEMD_EDDF,7333.21,7274.0,6669,8026,13294,122.22
LEPA_EDDF,6841.87,6855.0,6322,7378,13034,114.03
ENGM_ENZV,2338.47,2333.0,2049,3192,12918,38.97
ENZV_ENBR,1789.37,1628.0,1105,6737,12859,29.82
ENBO_ENGM,4821.27,4588.0,4041,10470,12737,80.35
EDDM_EDDL,2973.29,2953.0,2629,3672,12368,49.55
LFPG_EDDM,3887.28,3906.0,3593,4261,12334,64.79
LTAI_LTFM,5196.94,3344.0,2856,45659,12261,86.62
EGPH_EIDW,3118.05,3297.0,2064,4100,12181,51.97
ENBO_ENVA,4799.73,5734.0,2654,7247,12178,80.0
LEAL_EGKK,7701.5,7547.0,7026,8548,12156,128.36
LGAV_LIRF,5653.02,5615.0,5080,6141,12007,94.22
LIML_LICZ,4938.42,4928.0,4450,5392,11903,82.31
EDDF_EDDM,2032.75,2004.0,1690,2498,11889,33.88
LTFM_OMDB,21899.02,14162.0,12624,69034,11766,364.98
ENGM_ENBO,3913.84,3772.0,3500,5419,11631,65.23
LEPA_LSZH,6008.49,6030.0,5499,6734,11284,100.14
EKCH_EKYT,1716.78,1681.0,1510,2302,11273,28.61
LEPA_EGCC,8095.67,8106.0,7322,9055,11262,134.93
LSZH_EDDB,4294.95,4312.0,3725,5080,11151,71.58
WSSS_EGLL,50091.37,48252.0,46895,67093,10896,834.86
EIDW_EGSS,3127.13,3159.0,2725,3609,10886,52.12
EDDK_LTAI,11847.36,11791.0,11184,13483,10884,197.46
LTFJ_LTAI,3055.81,3020.0,2235,3938,10647,50.93
EHAM_LFPG,4192.62,2675.0,2392,51450,10445,69.88
EDDB_EDDF,2802.85,2787.0,2429,3228,10348,46.71
LIRF_LIML,2759.79,2765.0,2475,3120,10063,46.0
EDDB_EDDM,2985.88,2998.0,2511,3535,10000,49.76
LFML_LFPG,3995.45,3854.0,3507,5686,9882,66.59
EDDF_LEMD,7573.76,7437.0,6932,8598,9869,126.23
EDDF_LFPG,2904.99,2867.0,2589,3347,9790,48.42
LEBL_LEMH,1671.44,1686.0,1202,2049,9757,27.86
EDDM_LEPA,6298.91,6298.0,5813,6749,9726,104.98
EBMB_LEMD,6907.39,6798.0,6072,8502,9705,115.12
ENVA_ENBO,4318.34,5179.0,2199,6678,9639,71.97
LEMD_LIMC,6714.5,6075.0,5456,29396,9543,111.91
LTFM_LTAI,3346.35,3324.0,2644,4426,9431,55.77
EDDM_LFPG,4277.98,4118.0,3695,6385,9314,71.3
LFPG_DAAG,6608.46,6512.0,6073,7307,9247,110.14
EGLL_KORD,27675.66,27659.0,26477,29834,9177,461.26
ENBR_ENVA,3046.05,2824.0,2444,6905,9019,50.77
EDDM_EDDB,2712.96,2730.0,2397,3063,8867,45.22
LFPG_EKCH,4857.93,4808.0,4467,5265,8837,80.97
EGBB_EIDW,2830.62,2666.0,2199,3987,8834,47.18
EGSS_EIDW,3264.27,3252.0,2663,3727,8715,54.4
EHAM_ENGM,4963.64,4969.0,4420,5834,8676,82.73
LFPG_LEMD,5689.16,5590.0,4977,8508,8553,94.82
EDDF_LEPA,6204.11,6188.0,5623,6883,8481,103.4
EGKK_LIRF,7014.52,7042.0,6370,7770,8458,116.91
EIDW_EGKK,3994.91,3767.0,3038,5142,8339,66.58
LTAI_LTFJ,3194.92,2981.0,2413,4683,8289,53.25
OMDB_LTFM,23658.08,21255.0,13996,37726,8237,394.3
LPFR_EIDW,9572.45,9199.0,8185,11582,8184,159.54
EETN_EFHK,1398.85,1314.0,857,2747,8113,23.31
LEBL_LEMG,4464.0,4443.0,3862,5229,8059,74.4
LEPA_EDDB,8318.87,8296.0,7706,8923,7982,138.65
LFPG_LFML,3734.43,3589.0,3315,5677,7846,62.24
LFBO_LFPG,4078.28,3974.0,3601,5882,7715,67.97
EGKK_LTAI,13182.15,13491.0,12488,13850,7376,219.7
LGAV_LGTS,2871.71,1976.0,1654,16001,7258,47.86
LEMG_LEBL,4488.08,4486.0,3739,4973,7179,74.8
LTAI_EGKK,14034.09,14004.0,13187,15678,7176,233.9
LSGG_LSZH,2147.57,2088.0,1622,2855,7171,35.79
EKCH_LFPG,5553.54,5519.0,5079,6444,7127,92.56
LPPT_LPPR,2139.24,2028.0,1659,3375,7120,35.65
LEIB_LEPA,1656.25,1663.0,1182,2120,7090,27.6
LOWW_EDDB,3176.44,3173.0,2781,3585,7065,52.94
EGLL_EGPF,8370.6,3159.0,2786,58937,7021,139.51
LEPA_EDDS,6240.71,6261.0,5568,6615,7015,104.01
LEAL_EGCC,8711.02,8643.0,7847,9663,6694,145.18
LSGG_EHAM,4529.94,4432.0,3727,5731,6613,75.5
LIRF_LICJ,2373.83,2341.0,2054,3351,6547,39.56
LTFJ_LTCG,5685.6,4144.0,3800,30194,6535,94.76
LFPG_LFBO,3579.63,3438.0,3177,5388,6477,59.66
LIMC_LICZ,5323.22,5281.0,4642,6171,6293,88.72
EDDF_LTFM,8751.66,8775.0,8268,9241,6292,145.86
LIRF_EGKK,7595.96,7567.0,7002,8285,6207,126.6
ESSA_EGLL,8165.85,8556.0,7288,8709,6121,136.1
EFHK_EETN,1298.88,1196.0,1010,2963,5950,21.65
LGAV_LCLK,4248.66,4281.0,3931,4560,5924,70.81
LEPA_LEIB,1550.01,1588.0,906,2072,5882,25.83
LEMD_EGLL,7077.95,7317.0,6657,7417,5874,117.97
EDDM_LTAI,10156.71,10204.0,9526,11013,5769,169.28
LSZH_LEPA,5702.36,5499.0,4733,8092,5737,95.04
LPPT_LPMA,6563.51,5576.0,4952,9618,5732,109.39
LEMH_LEBL,1852.41,1857.0,1541,2136,5625,30.87
EHAM_ESSA,5409.3,5505.0,4909,6107,5617,90.16
EHAM_EGLC,2527.43,2535.0,2213,2919,5547,42.12
ENVA_ENBR,3247.71,3087.0,2707,6667,5437,54.13
DAAG_LFPG,7062.82,7076.0,6616,7412,5350,117.71
LICZ_LIRF,3408.87,3419.0,2832,3823,5324,56.81
LCEN_LTFJ,4392.25,4069.0,3770,15707,5263,73.2
LSGG_LFMN,2606.73,2601.0,2075,3503,5168,43.45
EGCC_LTAI,13877.79,14171.0,13200,14939,5087,231.3
EHAM_LFMN,6023.51,6077.0,5673,6490,5048,100.39
EDDB_LSZH,4079.48,3941.0,3619,4851,4933,67.99
EGKK_LEAL,7467.57,7677.0,6915,8003,4600,124.46
EDDS_LEPA,5559.18,5485.0,5174,6207,4519,92.65
EDDB_LOWW,3171.21,3044.0,2753,3644,4401,52.85
LFMN_EHAM,5719.58,5719.0,5421,6062,4391,95.33
LTCG_LTFJ,5370.94,5211.0,4790,6096,4186,89.52
EGKK_EIDW,3596.1,3314.0,2816,4977,4121,59.93
EGLL_ESSA,7326.47,7324.0,6788,7693,4031,122.11
ENBR_ENZV,1521.31,1349.0,1138,3603,4014,25.36
LSZH_LSGG,2415.06,2520.0,1754,2919,4006,40.25
LEMG_EIDW,9285.2,9351.0,8641,9896,3816,154.75
EGLL_LEMD,6656.19,6564.0,5979,7589,3754,110.94
EDDB_LEPA,8191.49,8045.0,7673,9323,3725,136.52
ENGM_EHAM,5364.85,5329.0,4719,5967,3680,89.41
LFPO_DAAG,6423.39,6388.0,6035,6884,3325,107.06
LFPO_LIRF,5857.54,5920.0,5417,6216,3294,97.63
LEMD_LFPG,5914.92,5829.0,5417,6844,3283,98.58
EHAM_LEMG,9927.03,10168.0,9212,10784,3139,165.45
EPWA_LTAI,9399.65,9222.0,8527,9872,3122,156.66
EHAM_LOWW,5009.87,4984.0,4544,6115,3041,83.5
EGCC_LEMG,9777.02,9768.0,8979,10372,3021,162.95
